Id,Question,Type,Preformatted,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,The fourth principal part of a verb is the verb's...,MC,,,Present Active Participle,,Future Active Participle,,Perfect Passive Participle,,Future Passive Participle,,,,,,,,,,,,,,,,,,,,,,,,3
2,"In the present active subjunctive form of a second conjugation verb, the vowel (""e"") as part of the infinitive stem is changed to a(n)...",MC,,,ea,,a,,ia,,iu,,,,,,,,,,,,,,,,,,,,,,,,1
3,"What is the ending of a neuter singular noun that is in the second declension, nominative case?",MC,,,us,,um,,i,,a,,,,,,,,,,,,,,,,,,,,,,,,2
4,"After the Jews in Masada recognized the inevitability of the Roman invasion, they...",MC,,,fortified their camp and made their preparations to fight,,fled to another site,,dug deep tunnels and hid underground,,arranged for a mass suicide,,,,,,,,,,,,,,,,,,,,,,,,4
5,"The phrase ""per dicendum disce"" contains what grammatical structure?",MC,,,Gerund,,Gerundive,,Supine,,Relative Pronoun,,,,,,,,,,,,,,,,,,,,,,,,1
6,"In Pliny 10.96, Pliny writes a letter to Emperor Trajan asking him for advice about what?",MC,,,How to more effectively run the Colosseum,,How to dispose of the dolphin's corpse,,How to handle Christians,,How to find a date in Rome,,,,,,,,,,,,,,,,,,,,,,,,3
7,"Although Cleopatra had an affair with Julius Caesar, she married...",MC,,,Augustus Caesar,,Caesarion,,Ptolemy I,,Mark Antony,,,,,,,,,,,,,,,,,,,,,,,,4
8,Which of the following is the last letter of the Greek alphabet?,MC,,,Beta,,Omega,,Theta,,Zeta,,,,,,,,,,,,,,,,,,,,,,,,2
9,"According to Mary Beard, in ancient Rome, when were children first put to work?",MC,,,At the moment they were born,,Once they took their first steps,,As soon as they were fit and able,,When they reached adulthood,,,,,,,,,,,,,,,,,,,,,,,,3
10,"On a tombstone inscription, ""Imp."" is often short for..",MC,,,Imperator,,Imperative,,Imperavit,,Vixit Annos,,,,,,,,,,,,,,,,,,,,,,,,1
