Id,Question,Type,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,Which of the following cities is in the Unova region?,MC,,Celadon City,,Virbank City,,Cyllage City,,Goldenrod City,,,,,,,,,,,,,,,,,,,,,,,,2
2,"Which of the following lies directly between Ecruteak City and Mahogany Town, and requires you to go through it if you don't have Surf?",MC,,Mt. Mortar,,Ruins of Alph,,Iron Island,,Mt. Silver,,,,,,,,,,,,,,,,,,,,,,,,1
3,"The Dark Cave (of the Johto Region) has three entrances, two of which are on Route 45 and Route 46. Where is the other entrance?",MC,,Route 26,,Route 30,,Route 31,,Route 44,,,,,,,,,,,,,,,,,,,,,,,,3
4,Which of the following is located closest to Snowpoint City?,MC,,Lake Verity,,Lake Valor,,Lake Acuity,,Sendoff Spring,,,,,,,,,,,,,,,,,,,,,,,,3
5,"In Pokemon Black 2 and White 2, one can ride on an airplane between which two locations?",MC,,Aspertia City & Victory Road,,Nimbasa City & Opelucid City,,Lacunosa Town & Humilau City,,Mistralton City & Lentimas Town,,,,,,,,,,,,,,,,,,,,,,,,4
6,Pokemon Black 2 is to Black Tower as Pokemon White 2 is to...,MC,,White Forest,,White Tower,,White Treehollow,,Black City,,,,,,,,,,,,,,,,,,,,,,,,3
7,What route exists between the Driftveil Drawbridge and Driftveil City?,MC,,Route 5,,Route 6,,Route 7,,None of the above,,,,,,,,,,,,,,,,,,,,,,,,4
8,"In Pokemon Ruby, Sapphire, and Emerald, you cannot cross Route 115 to get from Rustboro City to Meteor Falls without which HM?",MC,,Cut,,Waterfall,,Surf,,Strength,,,,,,,,,,,,,,,,,,,,,,,,3
9,The Viridian Forest existed in all of the following games EXCEPT...,MC,,Pokemon Red/Blue/Yellow,,Pokemon Gold/Silver/Crystal,,Pokemon FireRed/LeafGreen,,Pokemon Heartgold/Soulsilver,,,,,,,,,,,,,,,,,,,,,,,,2
10,Altering Cave can be found in Route 103 of the Hoenn Region. Where else can Altering Cave be found?,MC,,Deep within Pinwheel Forest,,North of the Pattern Bush,,Between Cianwood City and Route 47,,In Sendoff Spring,,,,,,,,,,,,,,,,,,,,,,,,2
11,"In almost all Pokemon games, the first ""route"" where a person exits their hometown is North of their hometown. However, this is false when you consider which town and route?",MC,,Pallet Town & Route 1,,New Bark Town & Route 29,,Twinleaf Town & Route 201,,Aspertia City & Route 19,,,,,,,,,,,,,,,,,,,,,,,,2
12,Prof. Rowan's laboratory is located where?,MC,,Littleroot Town,,Twinleaf Town,,Sandgem Town,,Nuvema Town,,,,,,,,,,,,,,,,,,,,,,,,3
13,Mt. Coronet is a pretty large mountain range that divides the Sinnoh region. You can only reach Spear Pillar from two of the five major entrances. They are the ones on...,MC,,Routes 207 and 208,,Routes 207 and 211,,Routes 208 and 211,,Routes 211 and 216,,,,,,,,,,,,,,,,,,,,,,,,1
14,Parfum Palace is west of...,MC,,Cyllage City,,Geosenge Town,,Camphrier Town,,Ambrette Town,,,,,,,,,,,,,,,,,,,,,,,,3
15,"From the time of the Kanto games to the Johto games, which route disappeared?",MC,,Route 22,,Route 23,,Route 25,,Route 28,,,,,,,,,,,,,,,,,,,,,,,,2
16,"In the Kanto-originated games, there comes a time when the player must travel directly from Cerulean City to Vermillion City without going through Saffron City (which is directly in-between), as that is not accessible to them yet. How is this possible?",MC,,The player flies over Saffron City,,The player teleports directly to Vermillion City,,The player goes through an underground tunnel,,The player takes the S.S. Anne which goes around Saffron City,,,,,,,,,,,,,,,,,,,,,,,,3
17,There is a gym in which hometown?,MC,,Aspertia City,,Vaniville Town,,Nuvema Town,,New Bark Town,,,,,,,,,,,,,,,,,,,,,,,,1
18,The southern end of Floaroma Meadow is Floaroma Town. What's at the northern end?,MC,,Route 205,,Valley Windworks,,Fuego Ironworks,,Eterna Forest,,,,,,,,,,,,,,,,,,,,,,,,3
19,"What is south of Floaroma Town, west of Oreburgh City, north of Sandgem Town, and east of Canalave City?",MC,,Celestic Town,,Eterna City,,Sunyshore City,,Jubilife City,,,,,,,,,,,,,,,,,,,,,,,,4
20,"Unless you use Fly, it is impossible to travel from Snowbelle City to Cyllage City without going through...",MC,,Victory Road,,Lumiose City,,Connecting Cave,,Geosenge Town,,,,,,,,,,,,,,,,,,,,,,,,2
21,"In order to get to Blackthorn City from Mahogany Town, one must go through which cave?",MC,,Dragon's Den,,Ice Path,,Mt. Mortar,,Dark Cave,,,,,,,,,,,,,,,,,,,,,,,,2
22,"Which of the following areas is accessible in Pokemon Black and White, but not Black 2 and White 2?",MC,,Route 10,,Giant Chasm,,Humilau City,,Cave of Being,,,,,,,,,,,,,,,,,,,,,,,,1
23,"Without the use of Fly, if one is travelling from Rustboro City to Fortree City, there is one city that he/she MUST travel through. However, that is not the case when returning from Fortree City to Rustboro City. What is that city that must be crossed?",MC,,Verdanturf Town,,Slateport City,,Mauville City,,Lilycove City,,,,,,,,,,,,,,,,,,,,,,,,3
24,"When travelling on foot, all of the following REQUIRES the use of surf EXCEPT...",MC,,when going from Mauville City to Fortree City,,when going from Slateport City to Pacifidlog Town,,when going from Mossdeep City to the Seafloor Cavern,,when going from Oldale Town to Slateport City,,,,,,,,,,,,,,,,,,,,,,,,4
25,Kiloude City is in the post-game of the Kalos based games. How does one get there?,MC,,Taking a train from Lumiose City,,Traveling east of Glittering Cave,,Walking through an underground tunnel from Vaniville Town,,Riding on a Herdier from Pokemon Village,,,,,,,,,,,,,,,,,,,,,,,,1
26,"What cave is required to get from New Bark Town to the Indigo Plateau, but not required to go from Indigo Plateau back to New Bark Town (assuming you can't fly)?",MC,,Victory Road,,Mt. Silver,,Tohjo Falls,,Diglett's Cave,,,,,,,,,,,,,,,,,,,,,,,,3
27,"Regice, Regirock, and Registeel are found on Island Cave, Desert Ruins, and Ancient Tomb. Which of the following is NOT a route that contains one of these three caves?",MC,,Route 105,,Route 111,,Route 120,,Route 134,,,,,,,,,,,,,,,,,,,,,,,,4
28,Where is the Team Magma Hideout located in Pokemon Emerald?,MC,,Lilycove City,,Jagged Pass,,Meteor Falls,,Seafloor Cavern,,,,,,,,,,,,,,,,,,,,,,,,2
29,The Kalos Power Plant is located between which two cities?,MC,,Aquacorde Town and Santalune City,,Dendemille Town and Anistar City,,Geosenge Town and Shalour City,,Coumarine City and Lumiose City,,,,,,,,,,,,,,,,,,,,,,,,4
30,Which two forests are very similar in structure?,MC,,Viridian Forest and Santalune Forest,,Petalburg Woods and Winding Woods,,Viridian Forest and Ilex Forest,,Eterna Forest and Ilex Forest,,,,,,,,,,,,,,,,,,,,,,,,1
