Id,Question,Type,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,What distinction is primarily drawn in <i>The Things They Carried</i> by Tim O'Brien?,MC,,Vietnam War vs. World War II,,Story Truth vs. Actual Truth,,Rain vs. Snow,,Generals vs. Soldiers,,,,,,,,,,,,,,,,,,,,,,,,2
2,Which two characters died in <i>The Scarlet Letter</i> by Nathaniel Hawthorne at around the same time?,Checkboxes,,Hester Prynne,,Arthur Dimmesdale,,Nathaniel Hawthorne,,Roger Chillingworth,,,,,,,,,,,,,,,,,,,,,,,,"2,4"
3,What was the one lie that Elizabeth told in <i>The Crucible</i> by Arthur Miller?,MC,,She was suspicious of John's affairs,,Rebecca Nurse was a perfectly sensible woman,,She did not like Reverend Hale's involvement in their business,,Abigail is Hester Prynne reincarnated,,"Her husband, John, is not an adulterer",,,,,,,,,,,,,,,,,,,,,,5
4,Who in <i>Native Son</i> by Richard Wright did Bigger intentionally kill?,MC,,Jan,,Mary,,Buddy,,Bessie,,Max,,,,,,,,,,,,,,,,,,,,,,4
5,"According to Robert Waldinger, what is the key to an individual's happiness?",MC,,Wealth,,Long lasting relationships,,Finding a hobby,,Appreciating the little things,,Not thinking about happiness,,,,,,,,,,,,,,,,,,,,,,2
6,Which of the following is/are (a) rhetorical device(s)? Select all that apply.,Checkboxes,,Litotes,,Apostrophe,,Irony,,Oxymoron,,,,,,,,,,,,,,,,,,,,,,,,"1,2,3,4"
7,"The ""Red Herring"" fallacy is...",MC,,the use of something irrelevant and misleading to support the argument,,attacking people rather than ideas,,"beginning with a general claim, then explaining details",,"explaining details, then ending with a general conclusion",,circular reasoning,,,,,,,,,,,,,,,,,,,,,,1
8,What is the minimum number of sources required for an effective synthesis essay?,MC,,1,,2,,3,,4,,5,,,,,,,,,,,,,,,,,,,,,,3
9,In which of the following essays is a conclusion least important?,MC,,Synthesis Essay,,Analytical Essay,,Rhetorical Analysis Essay,,Style Analysis Essay,,Argument Essay,,,,,,,,,,,,,,,,,,,,,,3
10,An op-ed is a _____ piece of writing that primarily expresses _______.,MC,,"short, facts",,"short, opinions",,"long, facts",,"long, opinions",,"short, compliments",,,,,,,,,,,,,,,,,,,,,,2
