Id,Question,Type,Preformatted,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,True or False: Carmichael Hall has a total of 5 floors (not including the basement).,MC,,,TRUE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,True or False: The Carmichael Hall elevator is next to the vending machines on the 1st floor.,MC,,,TRUE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3,True or False: Gender neutral bathrooms are located on the first floor.,MC,,,TRUE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
4,True or False: An HDMI cable can be used to connect a laptop to the TV on the first floor.,MC,,,TRUE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
5,True or False: The laundry room has a total of 5 washers and 6 dryers.,MC,,,TRUE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
6,True or False: The ping-pong table is in the second floor common room.,MC,,,TRUE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
7,True or False: There are a total of 4 ceiling fans in the first floor common room.,MC,,,TRUE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
8,True or False: There are 18 steps between the second and third floor.,MC,,,TRUE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
9,True or False: Carmichael Hall is closer to Tisch Library than Houston or Miller is to Tisch Library.,MC,,,TRUE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
10,True or False: The bike storage room is on the opposite side of the first floor common room as the laundry room.,MC,,,TRUE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
11,True or False: There is no bathroom on the fourth floor.,MC,,,TRUE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
12,True or False: Room 100-B (printer/vending machine room) contains a foosball table.,MC,,,TRUE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
13,"True or False: Based on the sign in the stairwell, the third floor is at an elevation of 35,000 feet.",MC,,,TRUE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
14,True or False: All names on the doors of residents on the second floor are above a picture of Shrek.,MC,,,TRUE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
15,True or False: The maximum occupancy of the kitchen (100-C) is 3.,MC,,,TRUE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
16,True or False: There is no way to return to the first floor common room after getting food from the dining center without going outside or breaking COVID restrictions.,MC,,,TRUE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
17,"Immediately upon leaving Carmichael Hall from the first floor common room, what lies straight ahead?",MC,,,The Academic Quad,,The Residential Quad,,Presidents' Lawn,,,,,,,,,,,,,,,,,,,,,,,,,,2
18,You are in line to get food from Carmichael Dining Center. Which of the following food items would you encounter first (assuming you are properly following Carmichael's traffic flow)?,MC,,,Ice Cream,,Stir-Fry,,Pizza,,,,,,,,,,,,,,,,,,,,,,,,,,3
19,Using one washer and one dryer has a combined cost of how much money in JumboCash?,MC,,,$1.50 ,,$2.50 ,,$3.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,3
20,"If you are looking directly out of the laundry room window, you are facing
<i>Hint: Use the compass app on your phone.</i>",MC,,,northeast.,,southwest.,,southeast.,,,,,,,,,,,,,,,,,,,,,,,,,,1
21,Room 100-C (the kitchen) contains all of the following EXCEPT...,MC,,,a rice-cooker,,a refrigerator,,a microwave,,,,,,,,,,,,,,,,,,,,,,,,,,1
22,"Which of the following is NOT on the ""Carmmunity"" sign in the first floor common room?",MC,,,A drawing of a tree,,"The words ""Since 1842 AD""",,The completed tic-tac-toe board of a game that ends in a tie,,,,,,,,,,,,,,,,,,,,,,,,,,2
23,This sign is located on which floor?,MC,,sign.jpg,1st,,3rd,,5th,,,,,,,,,,,,,,,,,,,,,,,,,,3
