Id,Question,Type,Preformatted,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,True or False: Carmichael Hall has a total of 5 floors (not including the basement).,MC,,,TRUE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2,True or False: The Carmichael Hall elevator is next to the vending machines on the 1st floor.,MC,,,TRUE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3,True or False: The laundry room has a total of 5 washers and 6 dryers (even though they don't always work).,MC,,,TRUE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
4,True or False: There are a total of 3 ceiling fans in the first floor common room.,MC,,,TRUE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
5,True or False: The maximum occupancy of the kitchen (100-C) is 3.,MC,,,TRUE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
6,"True or False: The laundry room contains one trash can, one recycling bin, and one sink.",MC,,,TRUE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
7,True or False: Some name tags on the 4th floor are on art of planets.,MC,,,TRUE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
8,"True or False: When swiping one's card to pay for laundry in the laundry room, the barcode must be facing left for it to work.",MC,,,TRUE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
9,True or False: The number of steps between the 2nd and 3rd floors is equivalent to the number of steps between the 4th and 5th floors.,MC,,,TRUE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10,True or False: There are a total of 3 stairwells in Carm (including the one to the dining center).,MC,,,TRUE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
11,True or False: The second floor common room is directly above the first floor common room.,MC,,,TRUE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
12,True or False: The ping-pong table is located in the third floor common room.,MC,,,TRUE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
13,True or False: Carmichael Hall is closer to 574 Boston Ave than Tilton Hall is to 574 Boston Ave.,MC,,,TRUE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
14,True or False: The mailboxes in the mailroom are arranged in a 24 x 8 grid.,MC,,,TRUE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
15,"Immediately upon leaving Carmichael Hall from the first floor common room, what lies straight ahead?",MC,,,The Academic Quad,,The Residential Quad,,Presidents' Lawn,,,,,,,,,,,,,,,,,,,,,,,,,,2
16,Using one washer and one dryer has a combined cost of how much money in JumboCash?,MC,,,$1.50 ,,$2.50 ,,$3.00 ,,,,,,,,,,,,,,,,,,,,,,,,,,3
17,Which room of Carmichael Hall contains a fireplace?,MC,,,100-A,,100-B,,100-C,,,,,,,,,,,,,,,,,,,,,,,,,,1
18,"You are sitting on the toilet in the gender-neutral bathroom located between the kitchen and the laundry room. Assuming that you sit on the toilet like a normal person, and you are looking straight ahead, you are facing...
<i>Hint: Use the compass app on your phone.</i>",MC,,,northwest.,,northeast.,,southeast.,,,,,,,,,,,,,,,,,,,,,,,,,,3
19,How many rooms are there between Room 119 and Room 125 (non-inclusive)?,MC,,,2,,4,,5,,,,,,,,,,,,,,,,,,,,,,,,,,2
20,This sign is located on which floor?,MC,,sign.jpg,1st,,3rd,,5th,,,,,,,,,,,,,,,,,,,,,,,,,,2
