Id,Question,Type,Preformatted,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,"You have a pre-conceived notion that a message was encrypted using the Caesar Cipher, but you don't know the shift amount. In the worst case scenario, how many times would you need to try to decrypt the message before you're successful?",MC,,,13,,25,,26,,27,,,,,,,,,,,,,,,,,,,,,,,,2
2,"What does the following C++ line of code do?
<code>x=x+3;</code>",MC,,,Adds 3 to the value stored in <code>x</code> and stores that sum into <code>x</code>.,,Initializes <code>x</code> to the value stored in <code>x+3</code>.,,Checks whether <code>x</code> is equivalent to <code>x+3</code> and returns a boolean value of <code>true</code> or <code>false</code>.,,"Breaks mathematics by insisting that <code>x</code> equals <code>x+3</code>, essentially proving that \(0=3\).",,,,,,,,,,,,,,,,,,,,,,,,1
3,"What does the following C++ line of code do?
<code>int x;</code>",MC,,,Declares the variable <code>x</code>.,,Initializes the variable <code>x</code>.,,Assigns a value to the variable <code>x</code>.,,Both the first and second option.,,,,,,,,,,,,,,,,,,,,,,,,1
4,Which of the following C++ boolean expressions would return <code>true</code>?,MC,,,<code>(3<5) && (8<5)</code>,,<code>(!(3+3!=7)) || (5/3==1)</code>,,<code>(43<=43) && ('v'<'v')</code>,,<code>((false || false) || (false || false)) && ((false || false) || (false || true))</code>,,,,,,,,,,,,,,,,,,,,,,,,2
5,Consider the following C++ code. How many times would the boolean expression within the while loop condition get evaluated?,MC,"int i = 0;
while (i <= 3) {
    i++;
}",,1,,3,,4,,5,,,,,,,,,,,,,,,,,,,,,,,,4
6,Consider an array named <code>arr</code> that contains 30 elements. Which of the following (in C++) would return the last element in that array?,MC,,,<code>arr[0]</code>,,<code>arr[1]</code>,,<code>arr[29]</code>,,<code>arr[30]</code>,,,,,,,,,,,,,,,,,,,,,,,,3
7,"In C++, which of the following contains the code that would be executed when a function is called?",MC,,,Function declaration,,Function definition,,Function contract,,Function call,,,,,,,,,,,,,,,,,,,,,,,,2
8,"Let <code>infile</code> be an <code>ifstream</code>. Consider the following C++ line of code:
<code>infile.open(s);</code>
Which of the following must <code>s</code> be?",MC,,,The name of the file that needs to be opened.,,The number of characters in the file that needs to be opened.,,The first line of the file that needs to be opened.,,The full path to the directory containing the file that needs to be opened.,,,,,,,,,,,,,,,,,,,,,,,,1
9,"If <code>x</code> is an <code>int</code> and <code>p</code> points to <code>x</code>, which of the following C++ lines of code would make <code>q</code> point to <code>p</code>?",MC,,,<code>int *q = &p;</code>,,<code>int *q = p;</code>,,<code>int **q = &p;</code>,,<code>int **q = *p;</code>,,,,,,,,,,,,,,,,,,,,,,,,3
10,In which of the following scenarios is dynamically allocated memory necessary (in C++)?,MC,,,a 3-dimensional array storing data about each piece of a solved Rubiks' Cube,,an array storing pointers to Students in a class with a maximum of 30 Students per class,,an array of integers storing the first one thousand digits of \(\pi\),,an array storing pointers to People in a phone book with the total number of People listed at the beginning of the phone book.,,,,,,,,,,,,,,,,,,,,,,,,4
11,All of the following would be appropriate classes to represent parts of an Excel workbook EXCEPT...,MC,,,<code>Cell</code>,,<code>Sheet</code>,,<code>Column</code>,,COMP 11,,,,,,,,,,,,,,,,,,,,,,,,4
12,"In C++, when a struct is passed down to a function where parts of that struct are modified, is the original struct modified or is a copy modified?",MC,,,The original struct is modified because structs are passed-by-reference.,,The original struct is modified because structs are passed-by-value.,,A copy is modified because structs are passed-by-reference.,,A copy is modified because structs are passed-by-value.,,,,,,,,,,,,,,,,,,,,,,,,4
13,A binary search algorithm has what complexity?,MC,,,\(O(1)\),,\(O(n)\),,\(O(n^2)\),,\(O(\log n)\),,,,,,,,,,,,,,,,,,,,,,,,4
14,Let <code>infile</code> be an <code>ifstream</code>. What does <code>infile.ignore()</code> do?,MC,,,Ignores the next character of the file that is being read,,Ignores the next set of characters that are not separated by white space in the file that is being read,,Ignores all characters in the file that is being read unless the character is an integer,,Ignores all characters in the file that is being read until the end of the file is reached,,,,,,,,,,,,,,,,,,,,,,,,1
15,"Consider a function that returns the factorial of an inputted nonnegative integer. What would be the contents of that function?
<i>Ignore the horrendous style of the code in these answer options.</i>",MC,"int factorial(int n) {
    /* contents of function go here */
}",,<code>if (n == 0) return 0; return n * factorial(n - 1);</code>,,<code>if (n == 0) return 1; return n * factorial(n);</code>,,<code>if (n == 0) return 0; return n * factorial(n);</code>,,<code>if (n == 0) return 1; return n * factorial(n - 1);</code>,,,,,,,,,,,,,,,,,,,,,,,,4
16,What is the difference between a private and public member of a class?,MC,,,"Private members can only be named within the program, while public members can also be named on the command line when running an executable.",,"Private members can only be named within methods of that class, while public members can also be named in other classes.",,"Private members are only known to professors and TAs, while public members are also known to students in the class.",,"Private members can only be named in recursive methods of that class, while public members can be named in any method of that class.",,,,,,,,,,,,,,,,,,,,,,,,2
17,You have a <code>Dog</code> class where one of its members stores the age of that dog in number of dog years. You only want methods of other classes to be able to increment the age by 1 at any time. What would you do in the <code>Dog</code> class?,MC,,,Make sure the age variable is private and have no setter methods.,,Make sure the age variable is private and have a public method that increments the age by 1.,,Make sure the age variable is public and have no setter methods.,,Make sure the age variable is public and have a private method that increments the age by 1.,,,,,,,,,,,,,,,,,,,,,,,,2
18,Which of the following methods of the <code>Vector</code> class may lead to the need to reserve more heap memory under the hood?,MC,,,<code>push_back(Data value)</code>,,<code>at(int index)</code>,,<code>pop_back()</code>,,<code>size()</code>,,,,,,,,,,,,,,,,,,,,,,,,1
19,Which of the following would be a violation of the rules of Splendor?,MC,,,Buying a card that costs 3 blue gems when you have 2 blue gems and 2 blue discounts,,"Taking the only 3 gems left within the gem bank, two of which are the same color",,Taking 2 gems of the same color when 4 gems of that color are present in the bank,,None of these are violations of the rules of Splendor.,,,,,,,,,,,,,,,,,,,,,,,,2
20,Which of the following linux commands lists all the files within the current directory?,MC,,,<code>cd</code>,,<code>pwd</code>,,<code>ls</code>,,<code>cat</code>,,,,,,,,,,,,,,,,,,,,,,,,3
