Id,Question,Type,Preformatted,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,"During the Stern-Gerlach experiment, a beam of electrons was sent through an appratus that measured each individual electron's spin as either ""up"" or ""down"". Filtering out the ""down"" spin electrons, a beam composed exclusively of the ""up"" spin electrons was sent through another apparatus that measured spin on the ""left""-""right"" axis. Which of the following best describes the measurement results of this beam?",MC,,,"The entire beam went either ""left"" or ""right"" depending on the polarity of the magnet in the second apparatus.",,"Half of the electrons in the beam went ""left"" and the other half went ""right"".",,"A small amount of electrons in the beam went ""left"" and a small amount went ""right"", but the vast majority remained in the middle.",,"The electron beam initially split into ""left"" and ""right"" beams that interfered with each other, resulting in an interference pattern.",,,,,,,,,,,,,,,,,,,,,,,,2
2,Let \(A = \begin{pmatrix} 0 & i \\ -i & 0 \end{pmatrix}\). Is \(A\) Hermitian?,MC,,,"Yes, because \(A = A^\dagger\).",,"Yes, because \(A^\dagger A = I\).",,"No, because \(A \neq A^\dagger\).",,"No, because \(A^\dagger A \neq I\).",,,,,,,,,,,,,,,,,,,,,,,,1
3,Let \(\lvert \psi \rangle\) be a quantum state equivalent to \(\alpha \lvert 00 \rangle + \beta \lvert 11 \rangle\). What is the probability of measuring \(0\) on the first qubit of \(\lvert \psi \rangle\)?,MC,,,\(1 - |\beta|^2\),,\(\alpha^* \alpha\),,\(|\langle 00 | \psi \rangle|^2 + |\langle 01 | \psi \rangle|^2\),,All of the above,,,,,,,,,,,,,,,,,,,,,,,,4
4,"Let \(G\) represent a gate acting on two qubits that flips the first qubit only if the second qubit is a \(\lvert 1 \rangle\), and performs a \(Z\) operation on the first qubit otherwise. Which of the following correctly represents \(G\) as a matrix?",MC,,,\(\begin{pmatrix} 0 & 0 & 1 & 0 \\ 0 & 1 & 0 & 0 \\ 1 & 0 & 0 & 0 \\ 0 & 0 & 0 & -1 \end{pmatrix}\),,\(\begin{pmatrix} 0 & 1 & 0 & 0 \\ 1 & 0 & 0 & 0 \\ 0 & 0 & 1 & 0 \\ 0 & 0 & 0 & -1\end{pmatrix}\),,\(\begin{pmatrix} 1 & 0 & 0 & 0 \\ 0 & -1 & 0 & 0 \\ 0 & 0 & 0 & 1 \\ 0 & 0 & 1 & 0 \end{pmatrix}\),,\(\begin{pmatrix} 1 & 0 & 0 & 0 \\ 0 & 0 & 0 & 1 \\ 0 & 0 & -1 & 0 \\ 0 & 1 & 0 & 0 \end{pmatrix}\),,,,,,,,,,,,,,,,,,,,,,,,4
5,"Suppose that you initialize a quantum state to \(\lvert 0 \rangle\), a state with a deterministic measurement outcome of \(0\). When the \(H\) gate is applied to \(\lvert 0 \rangle\), the result is a state whose measurement outcome has a 50% probability of being a \(0\) and a 50% probability of being a \(1\). When \(H\) is applied to that resulting state, what is the result?",MC,,,A state with a deterministic measurement outcome of \(0\).,,A state whose measurement outcome has a 25% probability of being a \(0\) and a 75% probability of being a \(1\).,,A state whose measurement outcome has a 50% probability of being a \(0\) and a 50% probability of being a \(1\).,,A state with a deterministic measurement outcome of \(1\).,,,,,,,,,,,,,,,,,,,,,,,,1
6,"Consider the following quantum circuit, where \(U\) is some arbitrary Unitary operation. Which of the following expressions accurately evaluates to the final state before measurement?",MC,,Q6.JPG,\(\frac{U \lvert 0 \rangle - \lvert 1 \rangle}{\sqrt{2}} \otimes \lvert \psi \rangle\),,\(\frac{\lvert 0 \rangle - U \lvert 1 \rangle}{\sqrt{2}} \otimes \lvert \psi \rangle\),,\((H \otimes I)(\lvert 0 \rangle \langle 0 \rvert \otimes I + \lvert 1 \rangle \langle 1 \rvert \otimes U)(H \otimes I)(Z \otimes I) \lvert 0 \rangle \lvert \psi \rangle\),,\((Z \otimes I)(H \otimes I)(\lvert 0 \rangle \langle 0 \rvert \otimes I + \lvert 1 \rangle \langle 1 \rvert \otimes U)(H \otimes I)\lvert 0 \rangle \lvert \psi \rangle\),,,,,,,,,,,,,,,,,,,,,,,,4
7,"Let \(f : \{0, 1\}^n \to \{0, 1\}^m\) be a function. One way to query \(f\) in quantum computing is using the index oracle, which performs which of the following mappings?",MC,,,\(\lvert x \rangle \to (-1)^{f(x)} \lvert x \rangle\),,\(\lvert x \rangle \to \lvert f(x) \rangle\),,\(\lvert x \rangle \lvert w \rangle \to \lvert x \rangle \lvert w \oplus f(x) \rangle\),,\(\lvert x \rangle \lvert 0 \rangle \to \lvert x \rangle \lvert f(x) \rangle\),,,,,,,,,,,,,,,,,,,,,,,,3
8,"Let \(f(x) = s \cdot x\) for some secret key \(s\), where \(s, x \in \{0, 1\}^n\) and \(s \cdot x\) is defined as \(s_1 \cdot x_1 \oplus s_2 \cdot x_2 \oplus ... \oplus s_n \cdot x_n\). Which of the following quantum circuits deterministically results in a measurement outcome matching \(s\) on the top depicted wire?
<i>Let \(P_f\) equal a phase query of \(f\), let \(I_f\) equal an index query of \(f\), and let \(D\) equal the Diffusion Operator.</i>",MC,,,a,Q8-1.JPG,b,Q8-2.JPG,c,Q8-3.JPG,d,Q8-4.JPG,,,,,,,,,,,,,,,,,,,,,,,2
9,"Which of the following statements relevant to Shor's Algorithm is true?

<i>Let \(n\) equal the number of qubits and let \(N = 2^n\).</i>",MC,,,"For all \(l\), \(\sum\limits_{j=0}^{N-1} e^{i 2 \pi j l / N} = 0\).",,"When \(N = 2\), the Quantum Fourier Transform has the same effect as an \(H\) gate.",,All of the above,,None of the above,,,,,,,,,,,,,,,,,,,,,,,,2
10,"We can use Quantum Phase Estimation to solve the same period-finding problem as Shor's Algorithm does, which finds the period \(r\) such that for some \(x\), \(x^r \text{ mod } N = 1\) (\(N = 2^n\), where \(n\) is the number of qubits). We do so by defining a Unitary \(U\) such that \(U \lvert y \rangle = \lvert xy \text{ mod } N \rangle\) and eigenvector \(\lvert u_s \rangle = \frac{1}{\sqrt{r}} \sum\limits_{k=0}^{r-1} e^{-i 2\pi sk / r} \lvert x^k \text{ mod } N \rangle\). What is the eigenvalue corresponding to this eigenvector?",MC,,,\(e^{-i 2\pi r / s}\),,\(e^{-i 2\pi s / r}\),,\(e^{i 2\pi r / s}\),,\(e^{i 2\pi s / r}\),,,,,,,,,,,,,,,,,,,,,,,,4
