Id,Question,Type,Preformatted,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,What two conditions would make a reaction thermodynamically favorable?,Checkboxes,,,An increase in enthalpy,,A decrease in enthalpy,,An increase in entropy,,A decrease in entropy,,,,,,,,,,,,,,,,,,,,,,,,"2,3"
2,A central atom with 5 bonds and 1 lone pair has what electron domain geometry?,MC,,,Trigonal pyramidal,,Tetrahedral,,Trigonal bipyramidal,,Square planar,,Octahedral,,,,,,,,,,,,,,,,,,,,,,5
3,The ratio of the effusion rates of two gases is inversely proportional to...,MC,,,the ratio between the molar masses,,the ratio between the square of the molar masses,,the ratio between the square root of the molar masses,,the ratio between the volumes,,the ratio between the square of the volumes,,,,,,,,,,,,,,,,,,,,,,3
4,"In a first order reaction, which of the following relationships produces a linear graph?
<i>If there are multiple correct answers, select the one that is conventionally used.</i>",MC,,,[reactant] vs. time,,-[reactant] vs. time,,log[reactant] vs. time,,ln[reactant] vs. time,,1/[reactant] vs. time,,,,,,,,,,,,,,,,,,,,,,4
5,A Lewis base is a base that...,MC,,,donates \(H^+\) ions in solution,,accepts \(H^+\) ions in solution,,donates \(OH^-\) ions in solution,,donates electron pairs,,accepts electron pairs,,,,,,,,,,,,,,,,,,,,,,4
6,"When the oxidation number of an element decreases in a redox reaction, that element is...",MC,,,Oxidized,,Reduced,,Heated,,Cooled,,Laughed At,,,,,,,,,,,,,,,,,,,,,,2
7,The pH at the equivalence point of a strong acid-strong base titration should be...,MC,,,less than 7.00 only at \(25\) \(^{\circ} C\),,at 7.00 only at \(25\) \(^{\circ} C\),,greater than 7.00 only at \(25\) \(^{\circ} C\),,at 7.00 in all conditions,,not equal to 7.00 in all conditions,,,,,,,,,,,,,,,,,,,,,,2
8,The van't Hoff factor (\(i\)) in the context of colligative properties in solutions is...,MC,,,the number of atoms per formula unit,,the number of particles per formula unit,,the number of ions per formula unit,,the number of molecules per formula unit,,the number of moles of atoms per formula unit,,,,,,,,,,,,,,,,,,,,,,2
9,"Which orbital, when considering areas with a 95% probability density or higher, has two lobes and one doughnut shape?",MC,,,\(s\) orbital,,"\(p\) orbital (\(p_x\), \(p_y\), or \(p_z\))",,"\(d\) orbital (\(d_{xy}\), \(d_{yz}\), or \(d_{xz}\))",,\(d\) orbital (\(d_{x^2-y^2}\)),,\(d\) orbital (\(d_{z^2}\)),,,,,,,,,,,,,,,,,,,,,,5
10,Which of the following organic structures has five carbon atoms? Select all that apply.,Checkboxes,,,Pentane,,Propane,,2-methylbutane,,"2,3-dimethylpentane",,,,,,,,,,,,,,,,,,,,,,,,"1,3"
