Id,Question,Type,Preformatted,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,"For each assignment, a grader should spend a maximum of _____ debugging cascading errors.",MC,,,10-15 minutes,,45-60 minutes,,2 hours,,16 hours,,,,,,,,,,,,,,,,,,,,,,,,1
2,"If a student's submission does not compile, what command would give an indication of why?
<i>Let's assume that the autograder already ran and failed prior to typing this command.</i>",MC,,,<code>./run_autograder --diff</code>,,<code>./run_autograder --filter memerror</code>,,<code>./run_autograder --compileLog</code>,,There is no way to debug compiler errors.,,,,,,,,,,,,,,,,,,,,,,,,3
3,"When using HitMe (the site that organizes who grades what), what happens if a TA gets someone they know?",MC,,,The TA should grade them more generously in order to not ruin their friendship.,,The TA should grade them less generously to try to offset any unconscious bias.,,The TA should try to grade them with as little bias as possible.,,The TA should arrange to trade assignments with another TA.,,,,,,,,,,,,,,,,,,,,,,,,4
4,In which of the following operations does a LinkedList have a better runtime than ArrayLists?,MC,,,Insertion at the front,,Removing from the back,,Binary Search,,Linear Search,,,,,,,,,,,,,,,,,,,,,,,,1
5,What is the height of a leaf of an AVL tree?,MC,,,\(-1\),,\(0\),,\(1\),,\(\log_2 (num\_nodes)\),,,,,,,,,,,,,,,,,,,,,,,,2
6,"You implement a hash table using linear probing in C++. Each element is a struct containing the data being stored (key and value) and a boolean ""filled"" flag. What's missing?",MC,,,Nothing!,,Pointer to start of array,,Hash value,,"Boolean ""removed"" flag",,,,,,,,,,,,,,,,,,,,,,,,4
7,Which data structure best models task interruption and resumption?,MC,,,Queue,,Stack,,Binary Search Tree,,Graph,,,,,,,,,,,,,,,,,,,,,,,,2
8,What is the worst case runtime for inserting an element in a binary search tree?,MC,,,\(O(1)\),,\(O(\log n)\),,\(O(\sqrt{n})\),,\(O(n)\),,,,,,,,,,,,,,,,,,,,,,,,4
9,Which sorting algorithm is ideal for when all elements are within a bounded range (and the range size is small)?,MC,,,Bubble sort,,Bucket/counting sort,,Merge sort,,Intelligent design sort,,,,,,,,,,,,,,,,,,,,,,,,2
10,What is the runtime of breadth first search and depth first search for a graph represented as an adjacency matrix?,MC,,,\(O(|V|)^2\),,\(O(|E|)^2\),,\(O(|V|+|E|)\),,\(O(|V|*|E|)\),,,,,,,,,,,,,,,,,,,,,,,,1
