Id,Question,Type,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,"Consider this line of code in Java:
<code>public static int compareNums(int a, int b) {}</code>
This is an example of a(n)...",MC,,Class declaration,,Instance variable,,Method signature,,Accessor,,Mutator,,,,,,,,,,,,,,,,,,,,,,3
2,"Consider the following lines of code in Java: 
<pre>String s1 = new String(""apple""); \linebreak String s2 = new String(""apple"");</pre>
Which of the following expressions would return <code>true</code>? Select all that apply.",Checkboxes,,<code>s1==s2;</code>,,<code>s1.equals(s2);</code>,,<code>s1.compareTo(s2)<0;</code>,,<code>s1.compareTo(s2)>0;</code>,,,,,,,,,,,,,,,,,,,,,,,,2
3,Which of the following is true about both ArrayLists and Arrays?,MC,,They have a flexible size,,The index of the first element is 0,,"They can only hold objects, not primitives",,They require importing a java utility,,They can only contain boolean values,,,,,,,,,,,,,,,,,,,,,,2
4,"Consider the following line of Java code:
<code>String[][] ticTacToe = new int[3][3]</code>. 
Which of the following would print the value at the bottom-right corner of the tic tac toe board?",MC,,<code>System.out.println(ticTacToe[0][0]);</code>,,<code>System.out.println(ticTacToe[3][3]);</code>,,<code>System.out.println(ticTacToe[0][3]);</code>,,<code>System.out.println(ticTacToe[3][0]);</code>,,<code>System.out.println(ticTacToe[2][2]);</code>,,,,,,,,,,,,,,,,,,,,,,5
5,"If a certain class implements an interface, then...",MC,,It must contain code for all methods declared in the interface,,It must call the super constructor,,It must call all methods declared in the interface,,The constructor must contain print statements that print all code written in the interface,,It will lead to an Index out of bounds exception,,,,,,,,,,,,,,,,,,,,,,1
6,"Consider the following lines of code in Java:
<pre>public class Animal { \linebreak     private String name; private int numLegs; \linebreak     public Animal(String nm, int n) { name = nm; numLegs = n; } \linebreak } \linebreak  \linebreak public class Cat extends Animal { \linebreak     private String furColor; \linebreak     public Cat(String nm, String color) { /* answer to this question */ } \linebreak }</pre>
It is known that cats have four legs. What would be the contents of the <code>Cat</code> constructor?",MC,,"<code>super(nm, color);</code>",,"<code>super(nm, 4);</code>",,"<code>super(4, nm);</code>",,"<code>super(nm, 4); furColor = color;</code>",,"<code>super(nm, color); furColor = n;</code>",,,,,,,,,,,,,,,,,,,,,,4
7,"Consider the following two for loops:
<pre>for (int i = 0; i&ltarr.length; i++) {} // for loop 1 \linebreak for (int i:arr) {} // for loop 2</pre>
Assume that <code>arr</code> is a one-dimensional array of integers. What is the difference between the <code>i</code> in for loop 1 and the <code>i</code> in for loop 2?",MC,,"For each iteration, the <code>i</code> in For Loop 2 is always 1 greater than the <code>i</code> in For Loop 1",,"For each iteration, the <code>i</code> in For Loop 2 is always 1 less than the <code>i</code> in For Loop 1",,<code>i</code> is an integer in For Loop 1; <code>i</code> is a String in For Loop 2,,<code>i</code> refers to the element in For Loop 1; <code>i</code> refers to the index of the element in For Loop 2,,<code>i</code> refers to the index of the element in For Loop 1; <code>i</code> refers to the element in For Loop 2,,,,,,,,,,,,,,,,,,,,,,5
8,"Which of the following statements involves skipping all remaining lines of code within a loop for that iteration, but then moving on to the next iteration?",MC,,<code>break;</code>,,<code>continue;</code>,,<code>return;</code>,,<code>arr.remove(i);</code>,,<code>arr.add(i);</code>,,,,,,,,,,,,,,,,,,,,,,2
9,"Which of the following would generate a random integer between 0 and 10, inclusive?",MC,,<code>Math.random()*10</code>,,<code>(int)(Math.random()*10)</code>,,<code>(int)Math.random()*10</code>,,<code>Math.random()*11</code>,,<code>(int)(Math.random()*11)</code>,,,,,,,,,,,,,,,,,,,,,,5
10,Which of the following expressions return <code>true</code>? Select two options.,Checkboxes,,<code>(3<5) || (8<3)</code>,,<code>(3<5) && (8<3)</code>,,<code>(1+1==2)</code>,,<code>(1+1=2)</code>,,,,,,,,,,,,,,,,,,,,,,,,"1,3"
