Id,Question,Type,Preformatted,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,"In <i>Beowulf</i>, after Beowulf kills Grendel, Grendel's mother descends on Heorot and seizes Beowulf's trusted advisor named...",MC,,,Wiglaf,,Unferth,,Sigmund,,Wealhtheow,,Aeschere,,,,,,,,,,,,,,,,,,,,,,5
2,"Early in <i>Invisible Man</i> by Ralph Ellison, Mr. Norton describes the narrator as ""his fate."" When the narrator brings that up to Mr. Norton at the end of the book...",MC,,,Mr. Norton immediately recognizes the narrator and they become good friends,,"Mr. Norton immediately recognizes the narrator, but they don't see each other again",,"Mr. Norton does not remember the narrator, but remembers mentioning ""his fate"" to someone",,"Mr. Norton recognizes the narrator, but does not recall mentioning ""his fate"" in any way",,"Mr. Norton does not recognize the narrator, nor does he recall saying anything about ""his fate.""",,,,,,,,,,,,,,,,,,,,,,5
3,Which of the following are true according to <i>How to Read Literature Like a Professor</i> by Thomas Foster? Select two options.,Checkboxes,,,Literature does not usually grow out of other literature,,"When a character drowns, it usually symbolizes baptism",,Self-knowledge is always the real reason for a quest,,Keys and bowls are common examples of sexual symbolism,,,,,,,,,,,,,,,,,,,,,,,,"3,4"
4,"According to <i>How to Read Literature Like a Professor</i>, who is the one truly responsible for a character's death in a story?",MC,,,The character themselves,,The murderer of the character,,The friend(s) of the character,,The author of the story,,The reader of the story,,,,,,,,,,,,,,,,,,,,,,4
5,"In many of Langston Hughes's poems (one example being ""As I Grew Older""), he uses the sun and shadow to represent...",MC,,,male vs. female,,ancient vs. modern,,sight vs. sound,,white vs. black,,rich vs. poor,,,,,,,,,,,,,,,,,,,,,,4
6,"In <i>Grendel</i> by John Gardner, after the death of the Shaper, who sang a song about Finn at his funeral (effectively replacing him)?",MC,,,Hrothgar,,Grendel's mother,,Beowulf,,The Shaper's assistant,,Grendel,,,,,,,,,,,,,,,,,,,,,,4
7,"In <i>Oedipus Rex</i> by Sophocles, in what way has Oedipus's blindness changed from the beginning to the end of the play?",MC,,,Oedipus was literally blind in the beginning; his daughter Samara restored his vision prior to killing him,,"Oedipus was literally blind in the beginning; his vision was restored, but he became figuratively blind by forgetting his history",,"Oedipus was figuratively blind in the beginning, being unable to remember people's names; he later blinded himself physically",,"Oedipus was figuratively blind in the beginning, unaware of the Ancient Greek audience; he then physically blinded himself, giving him the ability to see the audience through the fourth wall",,"Oedipus was figuratively blind in the beginning, unaware of his origins and his past; he later physically blinds himself when he learns the truth",,,,,,,,,,,,,,,,,,,,,,5
8,Who dies during the events of <i>Hamlet</i> by William Shakespeare? Select all that apply.,Checkboxes,,,Ophelia,,Horatio,,Claudius,,"Hamlet (the prince, not the king)",,,,,,,,,,,,,,,,,,,,,,,,"1,3,4"
9,"In Claudius's soliloquy in <i>Hamlet</i>, he considers his murder of King Hamlet as having ""the primal eldest curse"" upon it. What is this referring to?",MC,,,Lucifer's betrayal of God,,Eve stealing the forbidden fruit,,Cain's murder of Abel,,"The universal flood that killed everyone except Noah, his family, and pairs of animals",,The crucifixion of Jesus Christ,,,,,,,,,,,,,,,,,,,,,,3
10,"In the short story ""Hills Like White Elephants,"" the ""man"" is pressuring the ""girl"" to...",MC,,,have an abortion,,kill her family,,eat an extremely spicy pepper,,do 150 jumping jacks,,go to college,,,,,,,,,,,,,,,,,,,,,,1
