Id,Question,Type,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,Season 1 Episode 1 (Tourist Trapped): Why did Soos give Dipper a baseball bat before he left to rescue Mabel?,MC,,To bat away at zombies,,To knock out the gnomes,,In case he sees a pinata,,To fix anything on the way that needs fixing,,,,,,,,,,,,,,,,,,,,,,,,3
2,Season 1 Episode 1: What proved to be the gnomes' weakness?,MC,,Love,,Leaf blowers,,Golf carts,,Zombies,,,,,,,,,,,,,,,,,,,,,,,,2
3,"Season 1 Episode 2 (The Legend of the Gobblewonker): Right when their stock of cameras turned from 13 to 12, how was that camera destroyed?",MC,,Soos throwing it into the water,,Dipper's punch,,Mabel feeding it to the bird,,Blendin Blandin,,,,,,,,,,,,,,,,,,,,,,,,2
4,"Season 1 Episode 2: What did the Gobblewonker that was chasing Dipper, Mabel, and Soos turn out to be?",MC,,An illusion conjured by Bill Cipher,,A henchman of Gideon,,A beast that lies at the bottom of the ocean,,A robot made by Old Man McGucket,,,,,,,,,,,,,,,,,,,,,,,,4
5,Season 1 Episode 3 (Headhunters): What wax figure did Mabel create?,MC,,Larry King,,Quentin Trembley,,Stan Pines,,Abraham Lincoln,,,,,,,,,,,,,,,,,,,,,,,,3
6,Season 1 Episode 3: Who beheaded Wax Stan?,MC,,The other wax people,,Deputy Durland,,Toby Determined,,Stan Pines,,,,,,,,,,,,,,,,,,,,,,,,1
7,Season 1 Episode 4 (The Hand that Rocks the Mabel): Who does Gideon hire to help capture Dipper?,MC,,Mabel Pines,,Budd Gleeful,,Toby Determined,,Stan Pines,,,,,,,,,,,,,,,,,,,,,,,,3
8,Season 1 Episode 4: How did Gideon know about the amulet he was holding?,MC,,Journal #2,,His dad,,His own psychic powers,,Stan told him,,,,,,,,,,,,,,,,,,,,,,,,1
9,Season 1 Episode 5 (The Inconveniencing): How are they able to get through the locked door to Dusk2Dawn?,MC,,Break open the door,,With a.... GRAPPLING HOOK!!!!,,The Journal,,The Chimney,,,,,,,,,,,,,,,,,,,,,,,,4
10,Season 1 Episode 5: How do they quell the two ghost owners of the store?,MC,,Texting,,The Lammy Lammy Dance,,Smile Dip,,Dancing... forever...,,,,,,,,,,,,,,,,,,,,,,,,2
11,Season 1 Episode 6 (Dipper vs. Manliness): How do the police officers respond to a broken fire hydrant?,MC,,Try to find out whoever broke it,,Drink water from it,,Take off their shirts and run around it in circles,,Fix it right away,,,,,,,,,,,,,,,,,,,,,,,,3
12,Season 1 Episode 6: What is the Multibear's favorite song?,MC,,Don't Start Unbelieving,,I Know We'll Meet Again Some Sunny Day,,Disco Girl,,Taking Over Midnight,,,,,,,,,,,,,,,,,,,,,,,,3
13,Season 1 Episode 7 (Double Dipper): Where was Dipper's one good conversation with Wendy?,MC,,At the ticket stand,,In the party room,,Outside the bathroom,,On the roof,,,,,,,,,,,,,,,,,,,,,,,,3
14,Season 1 Episode 7: What led to the end of Dipper #2?,MC,,CLONE FIGHT!,,The sprinklers,,Pitt Cola,,The breaking of the Copy Machine,,,,,,,,,,,,,,,,,,,,,,,,3
15,Season 1 Episode 8 (Irrational Treasure): How did they discover the conspiracy?,MC,,Focus,,Breaking In,,Silliness,,Peanut Brittle,,,,,,,,,,,,,,,,,,,,,,,,3
16,Season 1 Episode 8: What dollar bill is Quentin Trembley on?,MC,,$1 ,,$20 ,,$100 ,,negative $12,,,,,,,,,,,,,,,,,,,,,,,,4
17,"Season 1 Episode 9 (The Time Traveler's Pig): In the one timeline where Dipper actually got Wendy the stuffed animal, what other major thing was changed?",MC,,The farmer guy went missing,,Stan got duncked,,Waddles was given to Pacifica,,Soos ate more food,,,,,,,,,,,,,,,,,,,,,,,,3
18,Season 1 Episode 9: What eventually duncked Stan?,MC,,A ball thrown at the target,,A hand pushing at the target,,A futuristic arm cannon,,Soos,,,,,,,,,,,,,,,,,,,,,,,,3
19,Season 1 Episode 10 (Fight Fighters): What is Stan afraid of?,MC,,Guns,,Video Games,,Heights,,Zombies,,,,,,,,,,,,,,,,,,,,,,,,3
20,Season 1 Episode 10: What time did Robbie want to fight Dipper in the park?,MC,,7:00,,12:00,,3:00,,5:00,,,,,,,,,,,,,,,,,,,,,,,,3
21,Season 1 Episode 11 (Little Dipper): By how much was Mabel taller than Dipper?,MC,,1 mm,,1 cm,,1 m,,1 km,,,,,,,,,,,,,,,,,,,,,,,,1
22,Season 1 Episode 11: How were they able to defeat Gideon?,MC,,Gummy Koalas,,Maze of Mirrors,,Tickling,,Cars,,,,,,,,,,,,,,,,,,,,,,,,3
23,Season 1 Episode 12 (Summerween): What were Mabel and Dipper's Trick-or-Treating Costumes this Summerween?,MC,,Bread & Butter,,M&Ms & Skittles,,Salt & Pepper,,Peanut Butter & Jelly,,,,,,,,,,,,,,,,,,,,,,,,4
24,Season 1 Episode 12: What was the Summerween Trickster made of?,MC,,Human Flesh,,Loser Candy,,Asphalt,,Jack-O-Melons,,,,,,,,,,,,,,,,,,,,,,,,2
25,Season 1 Episode 13 (Boss Mabel): How did Mabel and Dipper finally start gaining profits in the Mystery Shack?,MC,,Being nicer to their Employees,,Start acting like Stan,,Getting rid of the Singin' Salmon,,Questiony the Question Mark,,,,,,,,,,,,,,,,,,,,,,,,2
