Id,Question,Type,Preformatted,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,When is Tisch Library normally open each day in Fall 2020?,MC,,,7am-2am,,7:45am-9pm,,7:45am-1am,,9:30am-5pm,,,,,,,,,,,,,,,,,,,,,,,,3
2,Using one washer and one dryer has a combined cost of how much money in Jumbocash?,MC,,,$1.50 ,,$2.00 ,,$2.50 ,,$3.00 ,,,,,,,,,,,,,,,,,,,,,,,,4
3,What cafe is located directly above the Commons Marketplace?,MC,,,Hotung Cafe,,Tower Cafe,,The Sink,,Starbucks,,,,,,,,,,,,,,,,,,,,,,,,3
4,All of the following are situations where one is allowed to remove their face mask EXCEPT...,MC,,,when actively eating or drinking.,,when running around campus.,,when in one's room with only their roommate.,,when brushing one's teeth.,,,,,,,,,,,,,,,,,,,,,,,,2
5,"In Fall 2020, what is the maximum number of meal swipes that one is allowed to use per meal period?",MC,,,1,,2,,3,,4,,,,,,,,,,,,,,,,,,,,,,,,2
6,Which of the following is located the closest to the Gantcher Center?,MC,,,Anderson Hall,,Dowling Hall,,Halligan Hall,,Metcalf Hall,,,,,,,,,,,,,,,,,,,,,,,,3
7,What is the mascot of Tufts University?,MC,,,Jumbo (elephant),,Husky,,Big Red Bear,,Ronald McDonald,,,,,,,,,,,,,,,,,,,,,,,,1
8,"The Mods are temporary buildings for isolation housing and some quarantine housing (for those who have tested positive for COVID-19 and close contacts, respectively). They are built over...",MC,,,Tisch roof.,,the basketball courts.,,the tennis courts.,,the track & football field.,,,,,,,,,,,,,,,,,,,,,,,,3
9,"If one is in need of more masks and/or sanitizing wipes during the semester, where is one to go to pick it up?",MC,,,The Mailroom,,Gantcher Center,,62R Talbot Avenue,,Mayer Campus Center,,,,,,,,,,,,,,,,,,,,,,,,4
10,The COVID-19 test used at Tufts involves swabbing the inside of one's...,MC,,,nose.,,mouth.,,ears.,,armpits.,,,,,,,,,,,,,,,,,,,,,,,,1
