Id,Question,Type,Preformatted,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,"In <i>Night</i> by Elie Wiesel, the protagonist is named...",MC,,,Elie,,Sam,,Amir,,Lucentio,,,,,,,,,,,,,,,,,,,,,,,,1
2,"On the train ride in <i>Night</i>, when the Jews were not given bread to eat, what did they live on?",MC,,,Nothing,,Water,,Watermelons,,Snow,,,,,,,,,,,,,,,,,,,,,,,,4
3,"In the film ""I Am Sam,"" what restaurant did Sam and his daughter Lucy go to every morning?",MC,,,Bob's Big Boy,,iHop,,Taco Bell,,Holiday Inn,,,,,,,,,,,,,,,,,,,,,,,,2
4,"In ""I Am Sam,"" what did Lucy do when she was put under the care of a foster home?",MC,,,Vomit their family's bodies onto the floor,,Eat all their food,,Run away to Sam's house,,Accept her fate,,,,,,,,,,,,,,,,,,,,,,,,3
5,Which of the following was done somewhat biweekly in Lit class regarding Independent Reading?,MC,,,Reading Logs,,Journals,,Book Talks,,Book Fair Presentations,,,,,,,,,,,,,,,,,,,,,,,,2
6,Book Talks are designed to...,MC,,,Persuade the audience to read the book,,Inform the audience about the book,,Entertain the audience regarding the book,,Sell the book,,,,,,,,,,,,,,,,,,,,,,,,1
7,"In <i>The Kite Runner</i> by Khaled Hosseini, what material was ideal in the string of a kite in a kite-fighting tournament?",MC,,,Aluminium,,Lead,,Glass,,Plastic,,,,,,,,,,,,,,,,,,,,,,,,3
8,Which character beckons Amir back to Afghanistan in <i>The Kite Runner</i>?,MC,,,Hassan,,Rahim Khan,,Baba,,Sanaubar,,,,,,,,,,,,,,,,,,,,,,,,2
9,Why has Lucentio come to Padua in <i>Taming of the Shrew</i> by William Shakespeare?,MC,,,To wive and thrive,,To see his friends,,To study philosophy,,To chase a vampire that borrowed his left kidney,,,,,,,,,,,,,,,,,,,,,,,,3
10,"Who in <i>Taming of the Shrew</i> said, ""He kills her in her own humor?""",MC,,,Petruchio,,Peter,,Grumio,,Curtis,,,,,,,,,,,,,,,,,,,,,,,,2
