Id,Question,Type,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,In which nation did the Industrial Revolution begin?,MC,,France,,United States,,Great Britain,,Japan,,,,,,,,,,,,,,,,,,,,,,,,3
2,Who was with Simon Bolivar during the liberation of South America?,MC,,Jose de San Martin,,Benito Juarez,,Charles Darwin,,Toussaint L'Overture,,,,,,,,,,,,,,,,,,,,,,,,1
3,What nation in South Asia did the Europeans decide NOT to imperialize?,MC,,Vietnam,,China,,Indonesia,,Thailand,,,,,,,,,,,,,,,,,,,,,,,,4
4,How was Lenin returned to Russia from imprisonment?,MC,,Lenin barged his way out of prison,,The Germans sent him back to create disorder,,Stalin rescued him,,The prison was destroyed due to bombing during WWI,,,,,,,,,,,,,,,,,,,,,,,,2
5,What did the Popular Front government in France allow workers to do?,MC,,Refuse to show up to work and continue to expect payment,,Steal businesses from their employers,,Negotiate over wages and hours with employers,,Have breaks during their long workday,,,,,,,,,,,,,,,,,,,,,,,,3
6,What is classified as the greatest tank battle in all of history?,MC,,Battle of Stalingrad,,Battle of the Maginot Line,,Battle of Midway Islands,,Battle of Kursk,,,,,,,,,,,,,,,,,,,,,,,,4
7,Which group of people wanted to separate from India?,MC,,Sikhs,,Untouchables,,Hindus,,Followers of Gandhi,,,,,,,,,,,,,,,,,,,,,,,,1
8,Who was F.W. deKlerk?,MC,,The first black president of South Africa,,The president before Nelson Mandela,,The successor to Nelson Mandela,,A reporter who documented the Battle of Coral Sea,,,,,,,,,,,,,,,,,,,,,,,,2
9,"In the movie ""Hotel Rwanda,"" Titania Rusesabagina was a...",MC,,Hutu citizen,,Tutsi citizen,,Interhamwe extremist,,Red Cross leader,,,,,,,,,,,,,,,,,,,,,,,,2
10,Despite China's law stating that men and women are equal...,MC,,More boys attended elementary school,,Men were often paid more than women for the same jobs,,Women soon began oppressing men,,More men ate pizzas and hamburgers than women,,,,,,,,,,,,,,,,,,,,,,,,2
