Id,Question,Type,Preformatted,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,It is impossible for a system of linear equations to have _____ solutions.,MC,,,0,,1,,2,,an infinite number of,,,,,,,,,,,,,,,,,,,,,,,,3
2,"Let \(\textbf{v}_1 = (1, 0, 0)\), \(\textbf{v}_2 = (0, 1, 0)\), and \(\textbf{v}_3 = (7, 3, 0)\). All vectors in \(Span\{\textbf{v}_1, \textbf{v}_2, \textbf{v}_3\}\) make up...",MC,,,a point in \(\mathbb{R}^3\),,a line in \(\mathbb{R}^3\),,a plane in \(\mathbb{R}^3\),,the entire \(\mathbb{R}^3\),,,,,,,,,,,,,,,,,,,,,,,,3
3,Let \(A\) be an \(m \times n\) matrix. What is a necessary condition for the columns of \(A\) to span \(\mathbb{R}^m\)?,MC,,,\(m \leq n\),,\(m \geq n\),,\(m = n\),,\(m \neq n\),,,,,,,,,,,,,,,,,,,,,,,,1
4,"A transformation from \(\mathbb{R}^n\) to \(\mathbb{R}^m\) is linear iff for any \(u, v\) in \(\mathbb{R}^n\) and any scalar \(c\)...",MC,,,\(T(u+v) = T(u)+T(v)\),,\(T(cu) = cT(u)\),,All of the above,,None of the above,,,,,,,,,,,,,,,,,,,,,,,,3
5,Let \(T\) be a linear transformation from \(\mathbb{R}^n\) to \(\mathbb{R}^m\) and let \(A\) be the standard matrix for \(T\). \(T\) is one-to-one iff...,MC,,,the columns of \(A\) span \(\mathbb{R}^m\).,,the columns of \(A\) do not span \(\mathbb{R}^m\).,,the columns of \(A\) are linearly independent.,,the columns of \(A\) are linearly dependent.,,,,,,,,,,,,,,,,,,,,,,,,3
6,"All of the following are always true for matrices \(A\), \(B\), and \(C\) EXCEPT...
<i>Assume that \(A\), \(B\), and \(C\) have sizes where all operations in the answer options are defined.</i>",MC,,,\(AB = BA\),,\(A(BC) = (AB)C\),,\(A(B+C) = AB+AC\),,\((B+C)A = BA+CA\),,,,,,,,,,,,,,,,,,,,,,,,1
7,"Let \(A\) be an \(m \times n\) matrix. All of the following are logically equivalent to ""\(A\) is invertible"" EXCEPT...",MC,,,\(A\) is row equivalent to the identity matrix.,,\(nullity(A) = 0.\),,the columns of \(A\) are linearly dependent.,,"None of these are logically equivalent to ""\(A\) is invertible.""",,,,,,,,,,,,,,,,,,,,,,,,4
8,Let \(A\) be a \(3 \times 3\) matrix. Suppose that \(det(A) = 5\). What is \(det(2A)\)?,MC,,,5,,10,,30,,40,,,,,,,,,,,,,,,,,,,,,,,,4
9,Let \(A\) be a matrix. What is \(Nul(A)\)?,MC,,,The set of all possible linear combinations of the columns of \(A\).,,The set of all possible linear combinations of the rows of \(A\).,,The set of all solutions to the homogeneous equation \(Ax = 0\).,,The set of all solutions to the nonhomogeneous equation \(Ax = b\).,,,,,,,,,,,,,,,,,,,,,,,,3
10,Let \(P_n\) be a vector space containing all polynomials with degree less than or equal to \(n\). Which of the following is true?,MC,,,\(P_2\) is a subspace of \(P_3\),,\(P_3\) is a subspace of \(P_2\),,\(\mathbb{R}^2\) is a subspace of \(\mathbb{R}^3\),,Both the first option and the third option are true.,,,,,,,,,,,,,,,,,,,,,,,,1
11,Let \(A\) be an \(n \times n\) matrix and let \(2\) be an eigenvalue of \(A\). What is the set of all eigenvectors corresponding to this eigenvalue?,MC,,,\(Nul(A)\),,\(Nul(A-2)\),,\(Nul(A-2I)\),,\(Nul(A-2I) - \{0\}\),,,,,,,,,,,,,,,,,,,,,,,,4
12,What does it mean for a matrix \(A\) to be diagonalizable?,MC,,,"\(A\) is invertible, and the inverse of \(A\) is also invertible.",,\(A\) is row equivalent to a diagonal matrix.,,\(A\) is similar to a diagonal matrix.,,\(A\) is a triangular matrix.,,,,,,,,,,,,,,,,,,,,,,,,3
13,Two vectors are orthogonal iff...,MC,,,their inner product is 0.,,their inner product is 1.,,their cross product is 0.,,their cross product is 1.,,,,,,,,,,,,,,,,,,,,,,,,1
14,What is the orthogonal complement of \(Nul(A)\)?,MC,,,\(Nul(A^T)\),,\(Nul(A^{-1})\),,\(Row(A)\),,\(Col(A)\),,,,,,,,,,,,,,,,,,,,,,,,3
15,The three lines in the diagram below correspond to three linear equations on a 2-D plane. Which point represents a least squares solution of the system of those three linear equations?,MC,,S2-06.PNG,a,,b,,c,,d,,,,,,,,,,,,,,,,,,,,,,,,4
