Id,Question,Type,Preformatted,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,What is a conjecture?,MC,,,A statement that has been proven true.,,A statement that has yet to be proven or disproven.,,A statement that has been proven false.,,A statement that is not applicable to the scenario at hand.,,,,,,,,,,,,,,,,,,,,,,,,2
2,"What is the contrapositive of ""If I am at Tufts, then I am in Massachusetts""?",MC,,,"If I am at Tufts, then I am not in Massachusetts.",,"If I am not at Tufts, then I am not in Massachusetts.",,"If I am in Massachusetts, then I am at Tufts.",,"If I am not in Massachusetts, then I am not at Tufts.",,,,,,,,,,,,,,,,,,,,,,,,4
3,"Which of the following is a tautology?
<i>Assume that \(p\) and \(q\) are boolean values.</i>",MC,,,\(p \to (\neg p)\),,\((p \land q) \lor (p \lor q)\),,\((p \lor q) \lor (\neg (p \land q))\),,\(p \leftrightarrow q\),,,,,,,,,,,,,,,,,,,,,,,,3
4,"Negate the following statement: For all \(x\), there exists a \(y\) such that \(p(x, y)\) is true.",MC,,,"There exists an \(x\) such that for all \(y\), \(p(x, y)\) is true.",,"There exists an \(x\) such that for all \(y\), \(p(x, y)\) is false.",,"For all \(x\), there exists a \(y\) such that \(p(x, y)\) is false.",,"For all \(x\), there does not exist a \(y\) such that \(p(x, y)\) is true.",,,,,,,,,,,,,,,,,,,,,,,,2
5,"Let \(A = \{1, 2, 3\}\) and \(B = \{3, 4, 5\}\). What is \(A \cup B \)?",MC,,,"\(\{1, 2, 4, 5\}\)",,"\(\{1, 2, 3, 4, 5\}\)",,"\(\{1, 2\} \cup \{4, 5\}\)",,\(\{3\}\),,,,,,,,,,,,,,,,,,,,,,,,2
6,What quantity represents the number of size \(k\) subsets of a size \(n\) set?,MC,,,\(n^k\),,\(k^n\),,\({n \choose k}\),,\({k \choose n}\),,,,,,,,,,,,,,,,,,,,,,,,3
7,"Let \(R\) be a relation on set \(A\), where \(R = \{(1, 1), (1, 2), (2, 1), (2, 2), (2, 3), (3, 2), (3, 3)\}\) and \(A = \{1, 2, 3\}\). Is \(R\) an equivalence relation?",MC,,,Yes,,"No, because it is not symmetric.",,"No, because it is not reflexive.",,"No, because it is not transitive.",,,,,,,,,,,,,,,,,,,,,,,,4
8,"An anagram of a word is a string of letters formed from reordering the letters in the original word. How many anagrams are there of the word FOOD?
<i>For our purposes, a word is an anagram of itself.</i>",MC,,,4,,12,,24,,256,,,,,,,,,,,,,,,,,,,,,,,,2
9,Proving a claim by mathematical induction is much like proving that all dominoes that are initially standing next to each other will fall. The base case involves proving that the first domino will fall. What does the inductive step involve?,MC,,,Proving that the second domino will also fall,,Proving that the last domino will fall in the same direction as the first domino,,Proving that the last domino will fall in the opposite direction as the first domino,,Proving that any domino falling will result in the next domino falling as well,,,,,,,,,,,,,,,,,,,,,,,,4
10,Let \(f\) be a function from \(A\) to \(B\). \(f\) is onto iff...,MC,,,"\((a, b) \in f \land (a, c) \in f \to b = c\).",,"\((a, c) \in f \land (b, c) \in f \to a = b\).",,the domain of \(f\) equals \(A\).,,the image of \(f\) equals \(B\).,,,,,,,,,,,,,,,,,,,,,,,,4
11,"By definition, \(a\) and \(n\) are relatively prime iff...",MC,,,\(a\) is prime and \(n\) is prime.,,\(a\) is prime or \(n\) is prime.,,"\(gcd(a, n)\) equals either \(a\) or \(n\).",,"\(gcd(a, n) = 1\).",,,,,,,,,,,,,,,,,,,,,,,,4
12,Let \(p\) and \(q\) be really large prime numbers. Let \(n = pq\). What is the cardinality of the set containing all integers in mod \(n\) that are relatively prime to \(n\)?,MC,,,\(3\),,\((p-1)(q-1)\),,\(pq-2\),,\(pq\),,,,,,,,,,,,,,,,,,,,,,,,2
13,Let \(C_n\) be a cycle graph with \(n\) vertices. Which graph has the largest maximum clique?,MC,,,\(C_3\),,\(C_4\),,\(C_6\),,\(C_10\),,,,,,,,,,,,,,,,,,,,,,,,1
14,A perfect binary tree of height n has how many vertices?,MC,,,\(2^n\),,\(2^{n-1}\),,\(2^n - 1\),,\(2^{n+1} - 1\),,,,,,,,,,,,,,,,,,,,,,,,4
15,A graph is Eulerian (has an Eulerian tour) iff...,MC,,,all vertices have an odd degree.,,all vertices have an even degree.,,all but two vertices have an even degree; the remaining two vertices have an odd degree.,,either the second option or the third option is correct.,,,,,,,,,,,,,,,,,,,,,,,,2
