Id,Question,Type,Preformatted,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,Which of the following is a Crayola crayon color?,MC,,,Inchworm,,Thistle,,Fuzzy Wuzzy,,All of the above,,,,,,,,,,,,,,,,,,,,,,,,4
2,"What does it mean for a document to be a ""living document""?",MC,,,The document may be moved to different parts of the file system as the project evolves.,,The contents of the document may change as the project evolves.,,The document continues to be available after its creators move on to different projects.,,"Just like human beings, the document leaves behind a carbon footprint.",,,,,,,,,,,,,,,,,,,,,,,,2
3,Which of the following stages of team development come first?,MC,,,Adjourning,,Forming,,Performing,,Norming,,,,,,,,,,,,,,,,,,,,,,,,2
4,"Suppose that back in 2020, you were working on a project that relied on web browsers providing a flash player. The possibility of flash support being removed would be an example of a(n)...",MC,,,stakeholder.,,key challenge.,,out-of-scope problem.,,key risk.,,,,,,,,,,,,,,,,,,,,,,,,4
5,All of the following are examples of functional requirements EXCEPT....,MC,,,An online LaTeX editor correctly compiling source code.,,A keyboard registering that a key was pressed when pressing that key.,,A JavaScript application being secure.,,All of the above are functional requirements.,,,,,,,,,,,,,,,,,,,,,,,,3
6,"Information about how system components interact, including inputs and outputs of each components, is the main idea of which deliverable?",MC,,,Project Proposal,,Project Plan,,System Engineering Document,,Proof-of-Concept,,,,,,,,,,,,,,,,,,,,,,,,3
7,A Gantt chart can be useful for showing...,MC,,,how system components interact with each other.,,project dependencies.,,use cases.,,milestones and the project timeline.,,,,,,,,,,,,,,,,,,,,,,,,4
8,"What is a ""stretch goal""?",MC,,,The most challenging goal in the minimum viable product to attain.,,A goal that is not part of the minimum viable product but is in the scope of the project.,,A goal that is not part of the minimum viable product that the team would like to attain if possible.,,A goal that is completely out of scope of the project.,,,,,,,,,,,,,,,,,,,,,,,,3
9,What type of testing involves allowing a small group of users to use one's product in a controlled environment?,MC,,,Unit testing,,Regression testing,,Alpha testing,,Beta testing,,,,,,,,,,,,,,,,,,,,,,,,3
10,What is a product's tech stack?,MC,,,A list of all technologies that are part of a product,,A list of all technologies that were used to make a product,,A list of all technologies that need to be learned in order to use a product.,,The combination of all of the above.,,,,,,,,,,,,,,,,,,,,,,,,1
11,All of the following editors use the WYSIWYG style for document creation EXCEPT...,MC,,,Microsoft Word,,Sibellius,,Overleaf,,Google Docs,,,,,,,,,,,,,,,,,,,,,,,,3
12,"How is the musical note ""C#"" represented in LilyPond?",MC,,,<code>c#</code>,,<code>c'</code>,,<code>ces</code>,,<code>cis</code>,,,,,,,,,,,,,,,,,,,,,,,,4
13,"In LilyPond, one can input pitches and rhythms in absolute or relative mode. Inputting a pitch in relative mode ensures that each note's octave is relative to...",MC,,,middle C.,,the octave below middle C.,,the note listed between <code>\relative</code> and the open curly brace.,,the pitch of the previously inputted note.,,,,,,,,,,,,,,,,,,,,,,,,4
14,All of the following are flaws generally associated with WYSIWYG style editors (as opposed to plain text editors) for music transcription EXCEPT...,MC,,,task difficulty does not scale with task complexity.,,confusing menu screens and graphical user interfaces.,,a steep learning curve.,,difficulty in specifying formatting.,,,,,,,,,,,,,,,,,,,,,,,,3
15,What Python library is useful for building an Abstract Syntax Tree (AST) based on inputted language grammar?,MC,,,<code>Lark</code>,,<code>Parrot</code>,,<code>Trogon</code>,,<code>Pelican</code>,,,,,,,,,,,,,,,,,,,,,,,,1
