Id,Question,Type,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,"What is the antiderivative of \(\frac{1}{x}\), where \(x>0\)?",MC,,\(\infty\),,\(- \infty\),,\(- \frac{1}{x^2}\),,\( \ln{(x)} \),,\( ln{(x)} + C \),,,,,,,,,,,,,,,,,,,,,,5
2,"Based on the Mean Value Theorem, if it took your car 2 hours to travel 120 miles, then your speedometer must have read _____ at at least one point in the journey.",MC,,0 mph,,40 mph,,60 mph,,80 mph,,120 mph,,,,,,,,,,,,,,,,,,,,,,3
3,A function is considered a continuous function if...,MC,,it is continuous at every point from \(- \infty\) to \(+ \infty\),,it is continuous at every point from \(- \infty\) to \(0\),,it is continuous at every point from \(0\) to \(+ \infty\),,it is continuous at every point of its domain,,it is continuous at every discontinuity,,,,,,,,,,,,,,,,,,,,,,4
4,Which of the following are derived correctly? Select two options.,Checkboxes,,\(f(x) = x^3+2x^2+4\); \(f'(x) = \frac{1}{4}x^4+\frac{2}{3}x^3+4x+10\),,\(g(x) = 1874\); \(g'(x) = 0\),,\(h(x) = \cos{(x)}\); \(h'(x) = \sin{(x)}\),,\(j(x) = \sin^2{(x)}; j'(x) = 2 \sin{(x)} \cos{(x)}\),,,,,,,,,,,,,,,,,,,,,,,,"2,4"
5,Which of the following is a method of finding distance?,MC,,Taking the integral of velocity,,Taking the derivative of position,,Taking the integral of acceleration,,Taking the integral of the absolute value of velocity,,Taking the integral of the absolute value of acceleration,,,,,,,,,,,,,,,,,,,,,,4
6,Which of the following is/are (a) true statement(s)? Select all that apply.,Checkboxes,,"If \(f(x)\) is increasing, then LRAM will be an overestimation of the area underneath the curve",,"If \(f(x)\) is decreasing, then RRAM will be an underestimation of the area underneath the curve",,"If \(f(x)\) is concave up, then the trapezoidal approximation is an overestimation of the area underneath the curve",,"If \(f(x)\) is concave down, then the trapezoidal approximation is an underestimation of the area underneath the curve",,,,,,,,,,,,,,,,,,,,,,,,"2,3,4"
7,What is \(\int_0^1 \frac{1}{u^{\frac{1}{2}}} du\)?,MC,,\(0\),,\(\frac{1}{2}\),,\(1\),,\(2\),,It diverges,,,,,,,,,,,,,,,,,,,,,,4
8,What is the sum of an infinite geometric series where the first term is 1 and \(r = 2\)?,MC,,\(-1\),,\(0\),,\(1\),,\(2\),,It diverges,,,,,,,,,,,,,,,,,,,,,,5
9,"The ratio test involves finding the limit (\(L\)) as \(n\) approaches infinity of the absolute value of the ratio between the ""\(n\)th plus one"" term of a sequence and the \(n\)th term. What can be concluded from this test?",MC,,"If \(L<0\), the series converges; if \(L=0\), the series converges conditionally; if \(L>0\), the series diverges",,"If \(L<1\), the series converges; if \(L=1\), the series converges conditionally; if \(L>1\), the series diverges",,"If \(L=0\), the series converges; if \(L=\infty\) or \(L=- \infty\), the series diverges; otherwise, the test is inconclusive",,"If \(L=0\), the series diverges; if \(L=\infty\) or \(L=- \infty\), the series converges; otherwise, the test is inconclusive",,"If \(L<1\), the series converges; if \(L>1\), the series diverges; if \(L=1\), the test is inconclusive",,,,,,,,,,,,,,,,,,,,,,5
10,Which of the following is an example of a logistic differential equation?,MC,,\(\frac{dy}{dt} = ky(M-y)\),,\(\frac{dy}{dt} = ky\),,\(y = Ae^{rt}\),,\(y = \frac{M}{1+Ae^{-Mkt}}\),,\(\frac{dy}{dt} = kt(M-t)\),,,,,,,,,,,,,,,,,,,,,,1
