Id,Question,Type,Preformatted,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,Which of the following is/are (a) necessary step(s) for showing work in Ms. Barker's class? Select all that apply.,Checkboxes,,,List Givens,,List Find(s),,Solve with Symbols,,Label Answers with Units,,,,,,,,,,,,,,,,,,,,,,,,"1,2,3,4"
2,The average acceleration is the...,MC,,,Slope of the Position vs. Time Graph,,Area under the Position vs. Time Graph,,Slope of the Velocity vs. Time Graph,,Area under the Velocity vs. Time Graph,,Slope of the Acceleration vs. Time Graph,,,,,,,,,,,,,,,,,,,,,,3
3,The action-reaction pair of the force of weight on an object is...,MC,,,The normal force of the object on the surface,,The normal force of the surface on the object,,The \(x\) component of the weight,,The \(y\) component of the weight,,The gravitational force of the object on the Earth,,,,,,,,,,,,,,,,,,,,,,5
4,The period of a pendulum is dependent on its...,MC,,,Mass,,Length,,Chemical Composition,,Both the first option and the second option,,None of the above,,,,,,,,,,,,,,,,,,,,,,2
5,Which of the following indicates a change in angular momentum? Select two answers.,Checkboxes,,,A force acting on the center of mass of the system,,A force acting at a distance from the center of mass of the system,,A change in angular velocity,,A constant angular velocity,,,,,,,,,,,,,,,,,,,,,,,,"2,3"
6,"According to the work energy theorem, net work is the...",MC,,,Change in potential energy,,Change in kinetic energy,,Change in electrical energy,,Change in conservative force,,Change in non conservative force,,,,,,,,,,,,,,,,,,,,,,2
7,"A sound wave travels through air, then enters water. Which of the following remains constant through this transition?",MC,,,Wavelength,,Frequency,,Speed,,Only the first option and the second option,,All of the above,,,,,,,,,,,,,,,,,,,,,,2
8,"The principle that when two waves interfere, the displacement at each point of a standing wave is the sum of the displacement of each individual wave is what phenomenon?",MC,,,Constructive Interference,,Destructive Interference,,Quantum Mechanical Model,,Superposition,,Snell's Law,,,,,,,,,,,,,,,,,,,,,,4
9,Conventional current is...,MC,,,in the direction that protons travel,,in the direction opposite the direction that protons travel,,in the direction that positrons travel,,in the direction that electrons travel,,in the direction opposite the direction that electrons travel,,,,,,,,,,,,,,,,,,,,,,5
10,An anti-neutrino is the product of what decay process?,MC,,,Alpha decay,,Positive beta decay,,Negative beta decay,,Electron capture,,Gamma decay,,,,,,,,,,,,,,,,,,,,,,3
