Id,Question,Type,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,The correct way to notate Point \(X\) would be...,MC,,\(X\),,Point \(X\),,\(X.\),,.,,,,,,,,,,,,,,,,,,,,,,,,1
2,A line that crosses over two parallel lines is called a(n)...,MC,,radical,,transversal,,coinciding line,,intruder,,,,,,,,,,,,,,,,,,,,,,,,2
3,The distance formula is derived from...,MC,,The volume formula for a sphere,,The pythagorean theorem,,The side splitter theorem,,\(\pi\),,,,,,,,,,,,,,,,,,,,,,,,2
4,Which of the following postulates does not prove that a triangle is congruent?,MC,,SAS,,SSS,,SSA,,ASA,,,,,,,,,,,,,,,,,,,,,,,,3
5,The point of intersection between the three medians of a triangle is the...,MC,,Centroid,,Incenter,,Circumcenter,,Orthocenter,,,,,,,,,,,,,,,,,,,,,,,,1
6,A 30-60-90 triangle would have which of the following reference lengths?,MC,,"\(x\), \(2x\), and \(x \sqrt{2}\)",,"\(x\), \(x\), and \(x \sqrt{2}\)",,"\(x\), \(2x\), and \(x \sqrt{3}\)",,"\(x^2\), \(2 x^2\), and \(x \sqrt{7}\)",,,,,,,,,,,,,,,,,,,,,,,,3
7,\(\sin(x) = \frac{a}{b}\). What is \(a\)?,MC,,The hypotenuse,,The leg opposite to angle \(x\),,The leg adjacent to angle \(x\),,The arm adjacent to angle \(x\),,,,,,,,,,,,,,,,,,,,,,,,2
8,The diagonals of a rhombus are...,MC,,Congruent,,Similar,,Perpendicular,,Parallel,,,,,,,,,,,,,,,,,,,,,,,,3
9,"Based on the formula for the area of a regular polygon, to find the area, you need the perimeter and the...",MC,,Radius,,Apothem,,Side Length,,Number of sides,,,,,,,,,,,,,,,,,,,,,,,,2
10,The volume of a sphere is calculated by which expression?,MC,,\(\pi r^2 h\),,\(4 \pi r^2\),,\(\frac{4}{3} \pi r^3\),,\(\pi r^3\),,,,,,,,,,,,,,,,,,,,,,,,3
