Id,Question,Type,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,"In Book 1 of <i>De Bello Gallico</i> by Julius Caesar, why did Caesar not grant the Helvetii's request?",MC,,Memory,,Fortune,,Distrust,,Threats,,Both the first option and the fourth option,,,,,,,,,,,,,,,,,,,,,,1
2,"In Book 4 of <i>De Bello Gallico</i>, the attack on the Britons in 4.24 has many parallels with...",MC,,the Battle of Saratoga,,the Attack on Fort Sumter,,the Caning of Charles Sumner,,D-Day,,the Attack on Hiroshima and Nagasaki,,,,,,,,,,,,,,,,,,,,,,4
3,Book 5 of <i>De Bello Gallico</i> is primarily concerned with which season(s)? Select all that apply.,Checkboxes,,Spring,,Summer,,Fall,,Winter,,,,,,,,,,,,,,,,,,,,,,,,4
4,"According to Book 6 of <i>De Bello Gallico</i>, what are the Druids exempt from?",MC,,Conducting Sacrifices,,Managing Religion,,Military Service,,Voting for Druids,,None of the above,,,,,,,,,,,,,,,,,,,,,,3
5,"In the first three words of <i>The Aeneid</i> by Vergil, ""Arma virumque cano,"" what does the word ""arma"" represent?",MC,,Book 1 of <i>The Aeneid</i>,,Books 2-3 of <i>The Aeneid</i>,,Books 4-6 of <i>The Aeneid</i>,,Books 7-12 of <i>The Aeneid</i>,,Book 13 of <i>The Aeneid</i>,,,,,,,,,,,,,,,,,,,,,,4
6,"In the fall of Troy scene in Book 2 of <i>The Aeneid</i>, when Aeneas was angry at Helen, who quelled his anger?",MC,,Aeolus,,Neptune,,Juno,,Venus,,Turnus,,,,,,,,,,,,,,,,,,,,,,4
7,"In Book 4 of <i>The Aeneid</i>, where did Dido and Aeneas get married?",MC,,A cave,,A church,,A courthouse,,Mt. Olympus,,Caesar's Gaul,,,,,,,,,,,,,,,,,,,,,,1
8,Who was the sailor in Book 6 of <i>The Aeneid</i>?,MC,,Aeneas,,Prophetess,,Anchises,,Juno,,Charon,,,,,,,,,,,,,,,,,,,,,,5
9,Which of the following clauses use a subjunctive? Select two answers.,Checkboxes,,Relative Clause,,Purpose Clause,,Conditional Clause,,,,,,,,,,,,,,,,,,,,,,,,,,"2,3"
10,"When scanning in dactylic hexameter, what is present in the words ""pietate hiems""?",MC,,Diphthong,,"x or ""z""",,Elision,,Syncopated word,,None of the above,,,,,,,,,,,,,,,,,,,,,,3
