Id,Question,Type,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,"When dividing variables with the same base, you _____ the exponents.",MC,,Add,,Subtract,,Multiply,,Divide,,None of the above,,,,,,,,,,,,,,,,,,,,,,2
2,Which of these functions has an inverse?,MC,,"\(b(x)\), which burns \(x\)",,"\(f(x)\), which freezes \(x\)",,"\(c(x)\), which cooks \(x\)",,"\(e(x)\), which eats \(x\)",,"\(k(x)\), which kills \(x\)",,,,,,,,,,,,,,,,,,,,,,2
3,\(\log(x)+\log(y)=?\),MC,,\(\log(x+y)\),,\(\log(x-y)\),,\(\log(x*y)\),,\(\log(\frac{x}{y})\),,\(\log(x^y)\),,,,,,,,,,,,,,,,,,,,,,3
4,The reciprocal of \(\cos(x)\) is equal to...,MC,,\(\sin(x)\),,\(\tan(x)\),,\(\sec(x)\),,\(\csc(x)\),,\(\cot(x)\),,,,,,,,,,,,,,,,,,,,,,3
5,\(\cot(x)+1=?\),MC,,\(\tan(x)\),,\(\sec(x)\),,\(\csc(x)\),,\(\sec(x) \csc(x)\),,It cannot be determined without more information,,,,,,,,,,,,,,,,,,,,,,5
6,What is the period of the following sinusoidal function: \(x=\cos{(\frac{2 \pi}{5}*t)}\)?,MC,,\(2 \pi\),,\(\frac{2 \pi}{5}\),,\(\frac{5}{2} \pi\),,\(\frac{5}{2 \pi}\),,\(5\),,,,,,,,,,,,,,,,,,,,,,5
7,The ambiguous case describes a situation where...,MC,,There are no possible triangles that fit the given criteria,,"Given two side lengths and one angle, there are two possible triangles",,"Given two angles and one side length, there are two possible triangles",,"Given two side lengths and one angle, there are three possible triangles",,"Given two angles and one side length, there are three possible triangles",,,,,,,,,,,,,,,,,,,,,,2
8,"In a default parametric equation, there exists __ input(s) and __ output(s).",MC,,"1, 0",,"1, 1",,"1, 2",,"2, 1",,"2, 2",,,,,,,,,,,,,,,,,,,,,,3
9,Which expression results in a finite geometric series?,MC,,\(A_1 + (n-1) d\),,\(\frac{n}{2} (A_1 + A_n)\),,\(A_1 * r^{n-1}\),,\(A_1 * \frac{1 - r^n}{1 - r}\),,\(\frac{A_1}{1 - r}\),,,,,,,,,,,,,,,,,,,,,,4
10,The limit as x approaches 1 is...,MC,,The output where x equals 1,,The output value approached when x gets progressively closer to 1,,The output where x equals the reciprocal of 1,,Both the first option and the second option,,None of the above,,,,,,,,,,,,,,,,,,,,,,2
