Id,Question,Type,Preformatted,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,All of the following are contributing factors to environmental racism EXCEPT...,MC,,,More polluting facilities are present in non-White than White neighborhoods.,,The decision by the Trump administration to end much federal environmental justice work.,,People of color are exposed to a larger volume of pollutants than White people.,,All of the above are contributing factors to environmental racism.,,,,,,,,,,,,,,,,,,,,,,,,4
2,Which of the following statements about disparities regarding solar panel adoption is true?,MC,,,"Communities of color are more likely to adopt solar panels than white communities, but there is no evidence of a racial disparity after adjusting for income disparities.",,"Communities of color are more likely to adopt solar panels than white communities, and this racial disparity exists even after adjusting for income disparities.",,"Communities of color are less likely to adopt solar panels than white communities, but there is no evidence of a racial disparity after adjusting for income disparities.",,"Communities of color are less likely to adopt solar panels than white communities, and this racial disparity exists even after adjusting for income disparities.",,,,,,,,,,,,,,,,,,,,,,,,4
3,Which of the following is a true statement regarding bias and machine learning models?,MC,,,Bias in machine learning models can result from disproportionate representation in the data used to train the model.,,"As long as a machine learning model is trained on data that is representative of the population, it will not be biased.",,All of the above,,None of the above,,,,,,,,,,,,,,,,,,,,,,,,1
4,"In Python syntax, what does the equals operator (<code>=</code>) do?",MC,,,Separates the left and right side of an equation,,Assigns a variable to some value,,Tests two variable names for equality,,Tests two values for equality,,,,,,,,,,,,,,,,,,,,,,,,2
5,"Consider the following line of Python code:
<code>s = 'blah' * 3</code>
What value is stored in <code>s</code>?",MC,,,<code>'blahblahblah'</code>,,"<code>['blah', 'blah', 'blah']</code>",,<code>None</code>,,This code is syntactically incorrect.,,,,,,,,,,,,,,,,,,,,,,,,1
6,Consider the following lines of Python code. What is printed by the second line?,MC,"p = print('Hello', 'world')
print(p)",,<code>Helloworld</code>,,<code>Hello world</code>,,"<code>('Hello', 'world')</code>",,<code>None</code>,,,,,,,,,,,,,,,,,,,,,,,,4
7,"When a Python function returns multiple values, that is equivalent to returning a(n)...",MC,,,<code>list</code>.,,<code>set</code>.,,<code>tuple</code>.,,None of the above,,,,,,,,,,,,,,,,,,,,,,,,3
8,"Which Python for loop correctly iterates <code>i</code> through all odd numbers between <code>1</code> and <code>9</code>, inclusive?",MC,,,"<code>for i in range(1, 9, 2):</code>",,"<code>for i in range(1, 9, 5):</code>",,"<code>for i in range(1, 11, 2):</code>",,"<code>for i in range(1, 11, 5):</code>",,,,,,,,,,,,,,,,,,,,,,,,3
9,Which of the following statements regarding Python lists versus NumPy arrays is correct?,MC,,,Importing a module is necessary to use Python lists.,,A single Python list can store elements of different types.,,NumPy arrays have a flexible size.,,Adding two NumPy arrays results in their concatenation.,,,,,,,,,,,,,,,,,,,,,,,,2
10,Which of the following evaluates to <code>True</code>?,MC,,,<code>(not (True and True)) or (False and False)</code>,,<code>(True or (not False)) and (not True)</code>,,All of the above,,None of the above,,,,,,,,,,,,,,,,,,,,,,,,4
11,Which statement in Python forces an exit out of the current loop and immediately continues executing code after the loop?,MC,,,<code>break</code>,,<code>continue</code>,,<code>return</code>,,<code>exit</code>,,,,,,,,,,,,,,,,,,,,,,,,1
12,Suppose <code>scores</code> is a NumPy array holding test scores. What line of code returns an array containing ONLY the scores that are less than <code>60</code>?,MC,,,<code>scores.filter(< 60)</code>,,"<code>np.filter(scores, < 60)</code>",,<code>scores[scores < 60]</code>,,<code>scores[scores.elem < 60]</code>,,,,,,,,,,,,,,,,,,,,,,,,3
13,Bootstrapping involves...,MC,,,removing erroneous or incomplete data points.,,adjusting a model's complexity to avoid overfitting.,,repeated sampling with replacement to determine variation.,,getting confidence intervals for a model's function.,,,,,,,,,,,,,,,,,,,,,,,,3
14,Suppose that <code>arr</code> stores a 2D NumPy array. Which line of code would return the second column of <code>arr</code>?,MC,,,<code>arr[1]</code>,,"<code>arr[, 1]</code>",,<code>arr[:1]</code>,,"<code>arr[:, 1]</code>",,,,,,,,,,,,,,,,,,,,,,,,4
15,"Suppose that we have an array <code>arr</code> defined as follows. If we put this array through median filtering with a window size of 3, what is the resulting array?",MC,"import numpy as np
arr = np.array([7, 3, 5, 11])",,"<code>np.array([5, 8])</code>",,"<code>np.array([5, 5])</code>",,"<code>np.array([5, 4, 8])</code>",,"<code>np.array([1, -3, -1, 5])</code>",,,,,,,,,,,,,,,,,,,,,,,,2
16,Suppose that a pendulum has an instantaneous velocity of 0 every 4 seconds. What is the period of the pendulum?,MC,,,2 seconds,,4 seconds,,8 seconds,,16 seconds,,,,,,,,,,,,,,,,,,,,,,,,3
17,"Suppose that a red line train arrives at the Davis station every 8 minutes, and you arrive at the stop at some arbitrary time while trains are running. Your wait time would follow what probability distribution?",MC,,,Uniform,,Normal,,Hypergeometric,,It would be a constant.,,,,,,,,,,,,,,,,,,,,,,,,1
18,All of the following are subway lines on the MBTA EXCEPT...,MC,,,the Red Line.,,the Orange Line.,,the Yellow Line.,,the Blue Line.,,,,,,,,,,,,,,,,,,,,,,,,3
19,A high elasticity of demand indicates that...,MC,,,a small increase in a good's price will drastically reduce consumption of that good.,,a small increase in a good's price will at most minimally reduce consumption of that good.,,Either of the above,,a small increase in a good's price will increase consumption of that good.,,,,,,,,,,,,,,,,,,,,,,,,1
20,Which of the following is an example of unsupervised learning?,MC,,,Linear Regression,,Polynomial Regression,,Classification,,Clustering,,,,,,,,,,,,,,,,,,,,,,,,4
