Id,Question,Type,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,"""Part of the state"" is which genitive?",MC,,Possession,,Partitive,,Concessive,,Objective,,,,,,,,,,,,,,,,,,,,,,,,2
2,"In 3rd conjugation present active subjunctive, what letter(s) replace the vowel?",MC,,a,,e,,ia,,ea,,,,,,,,,,,,,,,,,,,,,,,,1
3,"""Puellae"" is a 1st declension noun. How many possibilities does it have for number and case?
<i>A specific number-case pair counts as one possibility.</i>",MC,,1,,2,,3,,4,,,,,,,,,,,,,,,,,,,,,,,,3
4,"The subjunctive that uses ""si"" is a(n)...",MC,,Indirect Question,,Conditional Clause,,Purpose Clause,,Dative of Agent,,,,,,,,,,,,,,,,,,,,,,,,2
5,One of Pliny's letters describes a story of a soothsayer who...,MC,,Cheated a dying woman into giving him money,,Ate the sacrificed lamb's black liver,,Ran away from the prison due to lack of duty,,Became a vampire and sucked everyone's blood,,,,,,,,,,,,,,,,,,,,,,,,1
6,"In ""Daedalus and Icarus"" by Ovid, they tried to escape their exile through...",MC,,Running,,Swimming,,Flying,,Surfing,,,,,,,,,,,,,,,,,,,,,,,,3
7,"According to Ovid, which of the four ages is the bloodiest age?",MC,,Gold,,Silver,,Bronze,,Iron,,,,,,,,,,,,,,,,,,,,,,,,4
8,"In ""Pyramus and Thisbe,"" Pyramus kills himself because...",MC,,He has a depressing life,,The stupid wall separates him from his love,,He thinks a lion killed his love,,He is overwhelmed with Thisbe's love for him and has no idea what to do,,,,,,,,,,,,,,,,,,,,,,,,3
9,"In Disney's ""Hercules,"" why was Hercules' murder as a baby unsuccessful?",MC,,Jupiter was easily able to protect him,,Hades was being stupid,,"Meg, the future love of his life, somehow shielded him",,He failed to drink every last drop of the potion,,,,,,,,,,,,,,,,,,,,,,,,4
10,"In Caesar's Gaul, which of the following is NOT a river?",MC,,Celtica,,Sequana,,Sequani,,Rhenus,,,,,,,,,,,,,,,,,,,,,,,,1
