Id,Question,Type,Image,Option 1,Image 1,Option 2,Image 2,Option 3,Image 3,Option 4,Image 4,Option 5,Image 5,Option 6,Image 6,Option 7,Image 7,Option 8,Image 8,Option 9,Image 9,Option 10,Image 10,Option 11,Image 11,Option 12,Image 12,Option 13,Image 13,Option 14,Image 14,Option 15,Image 15,Correct Answer
1,What is the maximum number of colleges that one can apply to via the Common Application?,MC,,10,,15,,20,,There is no limit,,,,,,,,,,,,,,,,,,,,,,,,3
2,All of the following schools use the Common Application EXCEPT...,MC,,Tufts University,,California Institute of Technology,,Yale University,,Massachusetts Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,4
3,"The National College Decision Day, when people typically have to commit to a certain school, is on what date?",MC,,April 1st,,April 15th,,May 1st,,June 1st,,,,,,,,,,,,,,,,,,,,,,,,3
4,People typically hear back from Early Decision I /Early Action schools around...,MC,,the end of November,,mid-December,,the beginning of February,,the end of March,,,,,,,,,,,,,,,,,,,,,,,,2
5,"In Cheshire High School, students typically request letters of recommendation through...",MC,,Turning in a yellow form (at least it was yellow in 2019),,Sending a request through Naviance,,All of the above,,None of the above,,,,,,,,,,,,,,,,,,,,,,,,3
6,Which of the following is MOST important in a college application?,MC,,Having a high GPA and a good SAT/ACT score,,Having a large amount of extracurricular activities,,Writing thoughtful and polished essays,,Submitting the application by the deadline,,,,,,,,,,,,,,,,,,,,,,,,4
7,"Some schools have a system where you hear back a certain amount of time after submitting your application, potentially before others have even applied. This is known as...",MC,,Early Decision,,Early Action,,Rolling Admissions,,Regular Decision,,,,,,,,,,,,,,,,,,,,,,,,3
8,What is the difference between Early Decision and Early Action?,MC,,Early Decision is a binding agreement to attend if accepted; Early Action is not,,Early Decision involves guaranteed admittance; Early Action does not,,Early Decision involves hearing back before the regular decision deadline; Early Action does not,,There is no difference between Early Decision and Early Action,,,,,,,,,,,,,,,,,,,,,,,,1
9,"On most applications, Cheshire High School CCP (Competitive College Prep) classes (not including Advanced Chem or Math Analysis) would be classified as...",MC,,College Level Courses,,Accelerated Courses,,Honors Level Courses,,Useless Courses,,,,,,,,,,,,,,,,,,,,,,,,3
10,What is the word limit for the Common Application Personal Essay (at least in 2019)?,MC,,250,,400,,500,,650,,,,,,,,,,,,,,,,,,,,,,,,4
